id,name,desig,en,pinyin
NGC 224,奎宿增廿一,M 31,Legs Added XXI,Kuíxiù zēng XXI
NGC 2632,积尸,M 44,Cumulative Corpses,JīShī
NGC 3372,海山二,NGC 3372,Sea and Mountain II,Hǎishān II
NGC 5139,库楼增一,NGC 5139,Arsenal Added I,Kùlóu zēng I
NGC 6231,神宫,NGC 6231,Changing Room,Shéngōng
NGC 6475,鱼,M 7,Fish,Yú
