id,name,ar,zh,fi,fr,de,it,ko,fa,es,ru,ja,la,tr,el,he,hi,en
18,Calabash Nebula,‎‎سديم كالاباش‎‎,葫芦星云,Pullokurpitsasumu,Nébuleuse de la Calebasse,Kürbis-Nebel,Nebulosa Zucca,호리병박 성운,سحابی کدو قلیانی,Nebulosa de la Calabaza,Туманность Калебаса,NA,NA,NA,NA,NA,NA,NA
19,Frosty Leo Nebula,‎‎سديم الأسد الصقيعي‎‎,霜狮星云,Leijonan huurresumu,Nébuleuse du Lion gelé,NA,Nebulosa Gelida del Leone,서리사자 성운,سحابی فراستی لئو,Nebulosa del León Escarchado,Туманность Седой лев,NA,NA,NA,NA,NA,NA,NA
20,Gomez's Hamburger,‎‎هامبرجر جوميز‎‎,戈麦斯汉堡,Gomezin hampurilainen,Hamburger de Gomez,NA,Hamburger di Gomez,우주의 햄버거,سحابی همبرگرگومز,Hamburguesa de Gomez,Гамбургер Гомеза,NA,NA,NA,NA,NA,NA,NA
21,Footprint Nebula,‎‎سديم أثر القدم‎‎,脚印星云,Jalanjälkisumu,Nébuleuse de l'Empreinte de pas,Fußabdruck-Nebel,Nebulosa Orma,발자국 성운,NA,Nebulosa de la Huella,Туманность След,足跡星雲,NA,NA,NA,NA,NA,NA
22,Sagittarius A East,‎‎القوس أ الشرقي‎‎,人马座东星,Sagittarius A itäinen,Sagittarius A Est,Sagittarius A Ost,Sagittarius A Est,궁수자리 A 동쪽,منطقه شرقی کماندار - A,Sagittarius A Este,Восточный Стрелец А,いて座Aイースト,Sagittarius A orientalis,NA,NA,NA,NA,NA
23,Sagittarius A West,‎‎القوس أ الغربي‎‎,人马座西星,Sagittarius A läntinen,Sagittarius A Ouest,NA,Sagittarius A Ovest,궁수자리 A 서쪽,منطقه غربی کماندار- A,Sagittarius A Oeste,Западный Стрелец А,いて座Aウェスト,Sagittarius A occidentalis,NA,NA,NA,NA,NA
40,Dark Doodad Nebula,‎سديم الشيء الداكن‎,黑饰品星云,NA,Nébuleuse du Bidule sombre,Dark Doodad,Nebulosa Scura Marchingegno,다크 두데드 성운,NA,Nebulosa del Artilugio Oscuro,Туманность Тёмная штуковина,NA,NA,NA,NA,NA,NA,NA
NGC 40,Bow-Tie Nebula,‎‎سديم ربطة العنق‎‎,蝴蝶结星云,Rusettisumu,Nébuleuse du Nœud-Papillon,Mascherl-Nebel,Nebulosa Bow-Tie,부메랑 성운,سحابی پاپیون,Nebulosa de lazo,Туманность Бабочка,NA,NA,Bumerang Bulutsusu,NA,NA,NA,NA
NGC 55,String of Pearls,‎خيط اللؤلؤ‎,珍珠串星系,Helminauha,Collier de perles,Perlenschnur,NA,진주 고리,NA,Collar de Perlas,Жемчужная нить,NA,NA,NA,NA,NA,NA,NA
NGC 87,Robert's Quartet,‎‎رباعية روبرت‎‎,罗伯特四重星系,Robertin kvartetti,Quartette de Robert,Roberts Quartett,Quartetto di Robert,로버트의 사중주,چهارتایی رابرت,Cuarteto de Robert,Квартет Роберта,NA,NA,Robert Dörtlüsü,NA,NA,NA,NA
NGC 88,Robert's Quartet,‎‎رباعية روبرت‎‎,罗伯特四重星系,Robertin kvartetti,Quartette de Robert,Roberts Quartett,Quartetto di Robert,로버트의 사중주,چهارتایی رابرت,Cuarteto de Robert,Квартет Роберта,NA,NA,Robert Dörtlüsü,NA,NA,NA,NA
NGC 89,Robert's Quartet,‎‎رباعية روبرت‎‎,罗伯特四重星系,Robertin kvartetti,Quartette de Robert,Roberts Quartett,Quartetto di Robert,로버트의 사중주,چهارتایی رابرت,Cuarteto de Robert,Квартет Роберта,NA,NA,Robert Dörtlüsü,NA,NA,NA,NA
NGC 92,Robert's Quartet,‎‎رباعية روبرت‎‎,罗伯特四重星系,Robertin kvartetti,Quartette de Robert,Roberts Quartett,Quartetto di Robert,로버트의 사중주,چهارتایی رابرت,Cuarteto de Robert,Квартет Роберта,NA,NA,Robert Dörtlüsü,NA,NA,NA,NA
NGC 104,47 Tuc,‎‎47 الطوقان‎‎,杜鹃座47球状星团,NA,NA,47 Tuc/NGC 104,NA,큰부리새자리 47,47 تی یو سی,NA,47 Тукана,きょしちょう座47,NA,NA,47 Τουκάνας,47 בטוקאן,NA,NA
NGC 128,NGC 128 group,مجموعة إن جي سي ١٢٨,128星系群,NGC 128 -ryhmä,Groupe NGC 128,NGC 128-Gruppe,NA,NGC 128 은하단,NA,Grupo NGC 128,Группа NGC 128,NGC128銀河群,NA,NA,NA,NA,NA,NA
NGC 134,Giant Squid Galaxy,‎‎مجرة الحبّار العملاق‎‎,大王乌贼星系,Jättiläiskalmarigalaksi,Galaxie du calmar géant,Riesenkalmar-Galaxie,NGC 134,대왕오징어 은하,کهکشان سرپاور عظیم,Galaxia del calamar gigante,Галактика Гигантский кальмар,NA,NA,NA,NA,NA,NA,NA
NGC 188,Polarissima Cluster,‎حشد بولاريسيما‎,近极星团,Polarissima-joukko,Amas Polarissima,Polarissima-Haufen,Ammasso Polarissima,작은곰자리 성단,NA,Cúmulo Polarissima,Скопление Поляриссимы,NA,Congregatio Polarissima,NA,NA,NA,NA,NA
NGC 206,Great Star Cloud in Andromeda Galaxy,‎سحابة النجوم العظيمة في مجرة أندروميدا‎,仙女座星系中的大恒星云,Andromedan galaksin suuri tähtipilvi,Grand numage d'étoiles de la Galaxie d'Andromède,Große Sternwolke in der Andromeda-Galaxie,Grande Nube Stellare nella galassia di Andromeda,안드로메다 은하의 대성운,NA,Gran nube de estrellas en la galaxia de Andrómeda,Большое звёздное облако в галактике Андромеды,アンドロメダ銀河の大スタークラウド,Magna Nubes Stellarum in Galaxia Andromedae,Andromeda Galaksi'sinde Büyük Yıldız Bulutu,NA,NA,NA,NA
NGC 224,Andromeda Galaxy,‎‎مجرة أندروميدا‎‎,仙女座星系,Andromedan galaksi,Galaxie d'Andromède,Andromeda-Galaxie,Galassia di Andromeda,안드로메다 은하,کهکشان آندرومدا,Galaxia Andrómeda,Галактика Андромеды,アンドロメダ銀河,Andromeda Nebula,Andromeda Gökadası,Γαλαξίας της Ανδρομέδας,גלקסיית אנדרומדה,NA,NA
NGC 225,Sailboat Cluster,‎‎حشد القارب الشراعي‎‎,帆船星团,Purjevenejoukko,Amas du Voilier,Segelboot-Haufen,Ammasso Barca a Vela,돛단배 성단,خوشه کشتی بادبانی,Cúmulo de Veleros,Скопление Парусник,NA,Congregatio naviculi velati,Yelkenli Kümesi,NA,NA,NA,NA
NGC 246,Skull Nebula,‎‎سديم الجمجمة‎‎,头骨星云,Pääkallosumu,Nébuleuse du Crâne,Totenkopfnebel,Nebulosa Teschio,해골 성운,سحابی جمجمه ای,Nebulosa del cráneo,Туманность Череп,NA,NA,Kafatası Bulutsusu,NA,NA,NA,NA
NGC 247,Burbidge Chain,‎سلسلة بربيدج‎,伯比奇链,Burbidgen ketju,La Chaîne de Burbidge,Burbidge-Kette,Catena Burbidge,버브리지의 사슬,NA,Cadena de Burbidge,Цепочка Бербиджа,NA,Catena Burbidgei,Burbidge Zinciri,NA,NA,NA,NA
PGC 2796,Burbidge Chain,‎سلسلة بربيدج‎,伯比奇链,Burbidgen ketju,La Chaîne de Burbidge,Burbidge-Kette,Catena Burbidge,버브리지의 사슬,NA,Cadena de Burbidge,Цепочка Бербиджа,NA,Catena Burbidgei,Burbidge Zinciri,NA,NA,NA,NA
NGC 253,Sculptor Galaxy,‎مجرة النحّات‎,玉夫座星系,Kuvanveistäjägalaksi,Galaxie du Sculpteur,Sculptor-Galaxie,Galassia dello Scultore,조각자리 은하,کهکشان مجسمه‌ساز,Galaxia del Escultor,Галактика Скульптора,ちょうこくしつ座銀河,Galaxia Sculptoris,Heykeltraş Gökadası,Γαλαξίας του Γλύπτη,גלקסיית הפסל,NA,NA
NGC 281,Pacman Nebula,‎‎سديم باكمان‎‎,吃豆人星云,Pacman-sumu,Nébuleuse Pacman,Pacman-Nebel,Nebulosa Pacman,팩맨 성운,سحابی پکمن,Nebulosa Pacman,Туманность Пакман,パックマン星雲,NA,NA,NA,NA,NA,NA
NGC 300,Southern Pinwheel Galaxy,‎‎مجرة المروحة الجنوبية‎‎,南风车星系,Etelän tuulimyllygalaksi,Galaxie du Moulinet du Sud,Südliche Feuerrad-Galaxie,Galassia Girandola del Sud,남쪽바람개비 은하,کهکشان فرفره جنوبی,Galaxia Molinillo Austral,Галактика Южная вертушка,南の回転花火銀河,NA,Güney Fırıldak Gökadası,NA,NA,NA,NA
NGC 5236,Southern Pinwheel Galaxy,‎‎مجرة المروحة الجنوبية‎‎,南风车星系,Etelän tuulimyllygalaksi,Galaxie du Moulinet du Sud,Südliche Feuerrad-Galaxie,Galassia Girandola del Sud,남쪽바람개비 은하,کهکشان فرفره جنوبی,Galaxia Molinillo Austral,Галактика Южная вертушка,南の回転花火銀河,NA,Güney Fırıldak Gökadası,NA,גלקסיית גלגל הרוח הדרומית,NA,NA
NGC 375,Pisces Cloud,‎سحابة الحوت‎,双鱼座云,Kalojen pilvi,NA,Fische-Wolke,Nube dei Pesci,물고기자리 성운,NA,Nube de Piscis,Облако Рыб,NA,Nubes Piscium,Balık Bulutu,NA,NA,NA,NA
NGC 383,NGC 383 group,مجموعة إن جي سي ٣٨٣,383星系群,NGC 383 -ryhmä,Groupe NGC 383,NGC 383-Gruppe,NA,NGC 383 은하단,NA,Grupo NGC 383,Группа NGC 383,NGC383銀河群,NA,NA,NA,NA,NA,NA
NGC 262,Markarian 348,‎‎ماركاريان 348‎‎,马卡良348,NA,NA,NA,NGC 262,마카리안 348,مارکارین 348,NA,Маркариан 348,マルカリアン348,NA,NA,NA,NA,NA,NA
NGC 292,Small Magellanic Cloud,‎‎السحابة الماجلانية الصغيرة‎‎,小麦哲伦云,Pieni Magellanin pilvi,Petit nuage de Magellan,Kleine Magellanische Wolke,Piccola nube di Magellano,소마젤란 성운,ابر کوچک ماژلانی,Pequeña nube de Magallanes,Малое Магелланово облако,小マゼラン雲,Nubecula Minor,Küçük Macellan Bulutsusu,Μικρό Μαγγελανικό Νέφος,ענן מגלן הקטן,NA,NA
NGC 404,Mirach's Ghost,‎‎شبح ميراتش‎‎,奎宿九之魂,Mirachin varjo,Fantôme de Mirach,Mirachs Geist,Fantasma di Mirach,미라크의 유령,شبح میراچ,Fantasma de Mirach,Призрак Мирака,NA,Spiritus Mirachae,NA,NA,NA,NA,NA
NGC 507,NGC 507 group,مجموعة إن جي سي ٥٠٧,507星系群,NGC 507 -ryhmä,Groupe NGC 507,NGC 507-Gruppe,NA,NGC 507 은하단,NA,Grupo NGC 507,Группа NGC 507,NGC507銀河群,NA,NA,NA,NA,NA,NA
NGC 457,Dragonfly Cluster,‎‎حشد اليعسوب‎‎,蜻蜓星团,Sudenkorentojoukko,Amas de la Libellule,Libellen-Haufen,Ammasso Libellula,잠자리 성단,خوشه سنجاقک,Cúmulo de la Libélula,Скопление Стрекоза,NA,NA,Dragonfly Kümesi,NA,NA,NA,NA
NGC 488,Whirligig Galaxy,‎مجرة الدوامة‎,转马星系,Väkkärägalaksi,Galaxie de la Toupie,Whirligig-Galaxie,Galassia Trottola,회전목마 은하,NA,Galaxia Whirligig,Галактика Волчок,NA,NA,NA,NA,NA,NA,NA
NGC 584,Little Spindle Galaxy,‎مجرة المغزل الصغير‎,小主轴星系,Pieni värttinägalaksi,Galaxie du Petit Fuseau,Kleine Spindel-Galaxie,Galassia Piccolo Mandrino,작은방추 은하,NA,pequeña Galaxia de Spindle,Галактика Малое веретено,NA,NA,NA,NA,NA,NA,NA
NGC 598,Triangulum Galaxy,‎مجرة تريانجولوم‎,三角座星系,Kolmion galaksi,Galaxie du Triangle,Dreiecksgalaxie,Galassia del Triangolo,삼각형자리 은하,کهکشان مثلثی,Galaxia del Triángulo,Галактика Треугольника,さんかく座銀河,Triangulum Galaxia,Üçgen Gökadası,Γαλαξίας του Τριγώνου,גלקסיית המשולש,NA,NA
NGC 628,Phantom Galaxy,‎مجرة الشبح‎,幻影星系,Kummitusgalaksi,Galaxie du Fantôme,Phantom-Galaxie,Galassia Fantasma,유령 은하,NA,Galaxia del Abanico,Галактика Фантом,NA,Phantom Galaxia,NA,NA,NA,NA,NA
NGC 650,Little Dumbbell Nebula,‎‎سديم الأثقال الصغير‎‎,小哑铃星云,Pieni nostopainosumu,Nébuleuse de la Petite haltère,Kleiner Hantelnebel,Nebulosa Piccola Campana,작은아령 성운,سحابی دمبل کوچک,Pequeña Nebulosa Dumbbell,Туманность Малая гантель,小亜鈴星雲,NA,Küçük Halter Bulutsusu,NA,ערפילית המשקולת הקטנה,NA,NA
NGC 651,Little Dumbbell Nebula,‎‎سديم الأثقال الصغير‎‎,小哑铃星云,Pieni nostopainosumu,Nébuleuse de la Petite haltère,Kleiner Hantelnebel,Nebulosa Piccola Campana,작은아령 성운,سحابی دمبل کوچک,Pequeña Nebulosa Dumbbell,Туманность Малая гантель,小亜鈴星雲,NA,Küçük Halter Bulutsusu,NA,NA,NA,NA
NGC 654,Fuzzy Butterfly Cluster,‎حشد الفراشة ذات الزغب‎,迷蝶星团,Sumea perhosjoukko,NA,Schmetterlingshaufen,Ammasso Farfalla Sfocata,보송나비 성단,NA,Cúmulo de la Mariposa,Скопление Пушистая бабочка,NA,NA,NA,NA,NA,NA,NA
NGC 659,Yin-Yang Cluster,عنقود ين ويانغ,阴阳星团,Jin-Jang-joukko,Amas Yin-Yang,Yin-Yang-Haufen,NA,음양 성운,NA,Cúmulo Yin-Yang,Скопление Инь-Янь,NA,NA,NA,NA,NA,NA,NA
NGC 663,Lawnmower Cluster,‎حشد آلة قص العشب‎,割草机星团,Ruohonleikkurijoukko,Amas de la Tondeuse à gazon,Rasenmäher-Haufen,Ammasso Tagliaerba,잔디깍기 성단,NA,Cúmulo Lawnmower,Скопление Газонокосилка,NA,NA,NA,NA,NA,NA,NA
NGC 772,Fiddlehead Galaxy,‎مجرة نبات الفدلهيد‎,蕨菜星系,Saniaisenlehtigalaksi,Galaxie de la Crosse de fougère,Fiedelkopf-Galaxie,Galassia Testa di Violino,피들헤드 은하,NA,Galaxia Fiddlehead,Галактика Резное украшение на носу корабля,NA,NA,NA,NA,NA,NA,NA
NGC 869,h Persei,NA,英仙座,NA,NA,NA,NA,NGC 869,NA,NA,h Персея,h,NA,NA,NA,h בפרסאוס,NA,NA
NGC 884,χ Persei,NA,英仙座χ,NA,NA,NA,NA,페르세우스자리 X,NA,NA,χ Персея,χ,NA,NA,NA,χ בפרסאוס,NA,NA
NGC 936,Darth Vader's Starfighter,‎مقاتلة دارث فادر‎,达斯·维德的星际战舰,Darth Vaderin tähtihävittäjä,Starfighter de Dark Vador,Darth Vaders Starfighter,NA,다스베이더의 스타파이터,NA,Caza Estelar de Darth Vader,Истребитель Дарта Вейдера,NA,NA,NA,NA,NA,NA,NA
NGC 1023,Perseus Lenticular Galaxy,‎مجرة حامل رأس الغول العدسية‎,仙人掌星系,Perseuksen linssigalaksi,Galaxie lenticulaire de Persée,Perseus-Linsengalaxie,Galassia Lenticolare di Perseo,페르세우스 렌즈형 은하,NA,Galaxia Lenticular Perseo,Линзовидная галактика Персея,NA,NA,NA,NA,NA,NA,NA
NGC 1039,Spiral Cluster,‎‎حشد اللولب‎‎,螺旋星团,Spiraalijoukko,Amas spirale,Spiral-Haufen,Ammasso a Spirale,나선 성단,خوشه مارپیچ,Cúmulo Espiral,Спиральное скопление,NA,Congregatio spiralis,Sarmal Yıldız Kümesi,NA,NA,NA,NA
NGC 1049,Fornax Dwarf Cluster 3,‎حشد الفرن القزم 3‎,天炉座矮星系球状星团3,Sulatusuunin kääpiöjoukko 3,Amas nain du Fourneau 3,Fornax Zwerghaufen 3,Ammasso Nano della Fornace 3,화로자리 왜소성단 3,NA,Cúmulo Enano de Fornax 3,3-е карликовое скопление Печи,ろ座矮小球状星団3,NA,NA,NA,NA,NA,NA
NGC 1068,Cetus A,‎‎مجرة قيطس A‎‎,鲸鱼座,NA,Cetus A,NA,NA,고래자리 알파,نهنگ A,Ballena A,Кит А,くじら座A,NA,Balina A,Κήτος Α,NA,NA,NA
NGC 1232,Eye of God Galaxy,‎مجرة العين الكبيرة‎,上帝之眼星系,Jumalan silmä,Galaxie de l'Oeil de Dieu,Auge Gottes-Galaxie,Galassia Occhio di Dio,나선 성운,NA,Galaxia Ojo de Dios,Галактика Глаз Бога,NA,Oculus dei galaxia,Tanrının Gözü Gökadası,NA,NA,NA,NA
NGC 1245,Patrick Starfish Cluster,‎حشد نجمة بحر باتريك‎,帕特里克海星星团,Patrick-meritähtijoukko,NA,Patrick Star-Haufen,Ammasso Patrick Starfish,패트릭의 불가사리 성단,NA,Cúmulo Estrella de Mar Patrick,Скопление Морская звезда Патрик,NA,NA,NA,NA,NA,NA,NA
NGC 1269,Snow Collar Galaxy,‎مجرة طوق الثلج‎,雪领星系,Lumikaulusgalaksi,Galaxie du Collier de neige,Schneekragen-Galaxie,NA,스노우칼라 은하,NA,Galaxia Collar de Nieve,Галактика Снеговик,NA,NA,NA,NA,NA,NA,NA
NGC 1275,Perseus A,‎‎برشاوش ا‎‎,英仙座,NA,Perseus A,NA,NA,페가수스 알파,پرساوش A,Perseo A,Персей А,ペルセウス座A,NA,Kahraman A,Περσέας Α,NA,NA,NA
NGC 1316,Fornax A,‎‎الفرن ا‎‎,天炉座,NA,Fornax A,NA,NA,화로자리 알파,کورۀ کیمیاگری A,NA,Печь А,ろ座A,NA,Ocak A,Καμίνι Α,NA,NA,NA
NGC 1317,Fornax B,‎‎الفرن ب‎‎,天炉座,NA,Fornax B,NA,NA,화로자리 B,کوره B,NA,Печь Б,ろ座B,NA,Ocak B,Καμίνι B,NA,NA,NA
NGC 1333,Embryo Nebula,‎سديم الجنين‎,胚胎星云,Sikiösumu,Nébuleuse de l'Embryon,Embryo-Nebel,Nebulosa Embrione,영혼 성운,NA,Nebulosa del Alma,Туманность Эмбрион,NA,NA,NA,NA,NA,NA,NA
NGC 1342,Little Scorpion Cluster,‎‎حشد العقرب الصغير‎‎,小蝎星团,Pieni skorpionijoukko,Amas du petit scorpion,Kleiner Skorpion-Haufen,Ammasso del Piccolo Scoprione,작은 전갈 성단,خوشه عقرب کوچک,Cúmulo del Pequeño Escorpión,Скопление Малый скорпион,NA,Congregatio scorpionis parva,Küçük Akrep Yıldız Kümesi,NA,NA,NA,NA
NGC 5281,Little Scorpion Cluster,‎‎حشد العقرب الصغير‎‎,小蝎星团,Pieni skorpionijoukko,Amas du petit scorpion,Kleiner Skorpion-Haufen,Ammasso del Piccolo Scoprione,작은 전갈 성단,خوشه عقرب کوچک,Cúmulo del Pequeño Escorpión,Скопление Малый скорпион,NA,Congregatio scorpionis parva,Küçük Akrep Yıldız Kümesi,NA,NA,NA,NA
NGC 1350,The Colossal Cosmic Eye,‎العين الكونية الهائلة‎,宇宙大眼睛星系,Suuri kosminen silmä,L’Œil cosmique colossal,Kolossales Kosmisches Auge,NA,거대한 우주의 눈,NA,El Ojo Cósmico Colosal,Колоссальный космический глаз,NA,NA,NA,NA,NA,NA,NA
NGC 1360,Robin's Egg Nebula,‎‎سديم بيضة عصفور أبو الحناء‎‎,知更鸟蛋星云,Robinin kananmunasumu,Nébuleuse de l'Oeuf de Robin,Rotkehlchenei-Nebel,Nebulosa Uovo di Robin,로빈의 달걀 성운,سحابی تخم پرنده سینه سرخ,Nebulosa Robin's Egg,Туманность Яйцо Робина,NA,NA,NA,NA,NA,NA,NA
NGC 1365,Great Barred Spiral Galaxy,‎المجرة الحلزونية القضيبية العظيمة‎,大棒旋星系,Suuri sauvaspiraaligalaksi,Grande Galaxie spirale barrée,Große Balkenspiral-Galaxie,NA,거대 줄무늬 나선 은하,NA,Gran Galaxia Espiral Barrada,Большая галактика с перемычкой,NA,NA,Büyük Çubuklu Sarmal Gökada,NA,NA,NA,NA
NGC 1407,Eridanus A Group,‎مجموعة أي النهر‎,波江座星系群,Eridanus A -ryhmä,Groupe Eridanus A,Eridanus A Gruppe,NA,에리다누스 A 은하단,NA,Grupo Eridanus A,Группа Эридан А,エリダヌス座A銀河群,NA,NA,NA,NA,NA,NA
NGC 1432,Maia Nebula,‎سديم مايا‎,昴宿四星云,Maiasumu,Nébuleuse de Maia,Maia-Nebel,Nebulosa di Maia,마이아 성운,سحابی مائیا,Nebulosa Maia,Туманность Майи,マイア星雲,NA,Maia Bulutsusu,Νεφέλωμα Μαία,NA,NA,NA
NGC 1435,Merope Nebula,‎سديم ميروب‎,昴宿五星云,Meropesumu,Nébuleuse de Merope,Merope-Nebel,Nebulosa di Merope,메로페 성운,سحابی مروپ,Nebulosa de Merope,Туманность Меропы,メローペ星雲,NA,Merope Bulutsusu,Νεφέλωμα Μερόπης,NA,NA,NA
NGC 1491,Fossil Footprint Nebula,‎سديم طبعة القدم الأحفورية‎,化石足迹星云,Fossiilijalanjälkisumu,Nébuleuse de l'Empreinte fossile,Fossilien-Fußabdruck-Nebel,Nebulosa Orma Fossile,화석 발자국 성운,NA,Nebulosa Huella Fósil,Туманность След окаменелости,NA,NA,NA,NA,NA,NA,NA
NGC 1499,California Nebula,‎سديم كاليفورنيا‎,加利福尼亚星云,Kaliforniasumu,Nébuleuse de Californie,Kalifornien-Nebel,Nebulosa California,캘리포니아 성운,سحابی کالیفرنیا,Nebulosa de California,Туманность Калифорния,カリフォルニア星雲,NA,California Bulutsusu,Νεφέλωμα Καλιφόρνια,NA,NA,NA
NGC 1501,Camel's Eye Nebula,‎‎سديم عين الجمل‎‎,骆驼之眼星云,Kamelinsilmäsumu,Nébuleuse de l'Oeil du Chameau,Kamelaugen-Nebel,Nebulosa Occhio di Camello,낙타 눈 성운,سحابی چشم شتر,Nebulosa Ojo de Camello,Туманность Верблюжий глаз,NA,Oculus cameli nebula,Deve'nin Gözü Bulutsusu,NA,NA,NA,NA
NGC 1502,Jolly Roger Cluster,‎حشد جولي روجر‎,海盗旗星团,Merirosvolippujoukko,Amas Jolly Roger,Jolly Roger-Haufen,Ammasso \t Jolly Roger,졸리 로저 성단,خوشه پرچم دزد دریایی,Cúmulo Jolly Roger,Скопление Весёлый Роджер,NA,Congregatio Jolly Roger,NA,NA,NA,NA,NA
NGC 1514,Crystal Ball Nebula,‎سديم كرة الكريستال‎,水晶球星云,Kristallipallosumu,Nébuleuse de la Boule de crystal,Kristallkugel-Nebel,Nebulosa Sfera di Cristallo,수정구 성운,سحابی گوی بلورین,Nebulosa Bola de Cristal,Туманность Хрустальный шар,NA,Nebula spherae crystallinae,NA,NA,NA,NA,NA
NGC 1528,m & m Double Cluster,‎حشد إم & إم المزدوج‎,&双星团,m&m-kaksoisjoukko,NA,m&m Doppelhaufen,NA,m & m 이중성단,NA,Cúmulo Doble m & m,Двойное скопление m & m,NA,NA,NA,NA,NA,NA,NA
NGC 1545,m & m Double Cluster,‎حشد إم & إم المزدوج‎,&双星团,m&m-kaksoisjoukko,NA,m&m Doppelhaufen,NA,m & m 이중성단,NA,Cúmulo Doble m & m,Двойное скопление m & m,NA,NA,NA,NA,NA,NA,NA
NGC 1535,Cleopatra's Eye Nebula,‎‎سديم عين كليوباترا‎‎,埃及艳后之眼星云,Kleopatran silmä,Nébuleuse de l'Oeil de Cléopâtre,Kleopatras Auge-Nebel,Nebulosa Occhio di Clepoatra,클레오파트라의 눈 성운,سحابی چشم کلوپاترا,Nebulosa Ojo de Cleopatra,Туманность Глаз Клеопатры,NA,Oculus Cleopatrae Nebula,Kleopatra'nın Gözü Bulutsusu,NA,NA,NA,NA
NGC 1554,Struve's Lost Nebula,‎سديم ستروف المفقود‎,斯特鲁维遗失星云,Struven kadonnut kaasusumu,Nébuleuse perdue de Struve,Struves Verlorener Nebel,Nebulosa perduta di Struve,스트루브의 잃어버린 성운,سحابی مفقود اشترووه,Nebulosa Perdida de Struve,Потерянная туманность Струве,ストローブの失われた星雲,NA,Struve'in Kayıp Bulutsusu,Χαμένο Νεφέλωμα του Στρούβε,NA,NA,NA
NGC 1555,Hind's Variable Nebula,‎سديم هند المتغير‎,欣德变光星云,Hindin muuttuva sumu,Nébuleuse variable de Hind,Hinds Variabler Nebel,Nebulosa variabile di Hind,하인드의 변동성운,NA,Nebulosa variable de Hind,Переменная туманность Хинда,ハインドの変光星雲,NA,NA,NA,NA,NA,NA
NGC 1579,Northern Trifid Nebula,‎سديم ثلاثي الفصوص الشمالي‎,北三裂星云,Pohjoinen trifidisumu,Nébuleuse Trifide septentrionale,Nördlicher Trifidnebel,NA,북쪽 삼렬성운,NA,Nebulosa Trífida del Norte,Северная трехраздельная туманность,NA,NA,NA,NA,NA,NA,NA
NGC 1595,Carafe Group,‎‎مجموعة مجرات القنينة‎‎,雕具座星系群,Carafe-ryhmä,Groupe Carafe,Karaffen-Gruppe,Gruppo di Carafe,카라페 그룹,گروه کارافه,Grupo Carafe,Группа Графина,カラフェ銀河群,Caetus caraffae,Carafe Grubu,Σύμπλεγμα Καράφα,NA,NA,NA
NGC 1598,Carafe Group,‎‎مجموعة مجرات القنينة‎‎,雕具座星系群,Carafe-ryhmä,Groupe Carafe,Karaffen-Gruppe,Gruppo di Carafe,카라페 그룹,گروه کارافه,Grupo Carafe,Группа Графина,カラフェ銀河群,Caetus caraffae,Carafe Grubu,Σύμπλεγμα Καράφα,NA,NA,NA
NGC 1647,Pirate Moon Cluster,‎حشد قمر القراصنة‎,海盗之月星团,Merirosvojoukko,NA,Piratenmond-Haufen,Ammasso Luna del Pirata,해적 달 성운,NA,Cúmulo del Pirata Lunar,Скопление Пиратская луна,NA,NA,NA,NA,NA,NA,NA
NGC 1664,4-H cluster,‎حشد 4-H ‎,4- 星团,4-H-joukko,Amas 4-H,4-H-Haufen,NA,4-H 성단,NA,Cúmulo 4-H,Скопление 4-H,NA,NA,NA,NA,NA,NA,NA
NGC 1788,Cosmic Bat Nebula,سديم الخفاش الكوني,宇宙蝙蝠星云,Kosminen lepakko,Nébuleuse de la Chauve-souris Cosmique,Kosmische Fledermaus-Nebel,NA,우주 박쥐 성운,NA,Nebulosa del Murciélago Cósmico,Туманность Космическая летучая мышь,NA,NA,NA,NA,NA,NA,NA
NGC 1807,Poor Man's Double Cluster,‎حشد الرجل الفقير المزدوج‎,贫双星团,Köyhän miehen kaksoisjoukko,NA,Arme-Leute-Doppelhaufen,Doppio Ammasso del Povero,거지의 이중성단,NA,Cúmulo Doble del Hombre Pobre,Скопление Двушка бедняка,NA,Congregatio duplex viri pauperi,NA,NA,NA,NA,NA
NGC 1817,Poor Man's Double Cluster,‎حشد الرجل الفقير المزدوج‎,贫双星团,Köyhän miehen kaksoisjoukko,NA,Arme-Leute-Doppelhaufen,Doppio Ammasso del Povero,거지의 이중성단,NA,Cúmulo Doble del Hombre Pobre,Скопление Двушка бедняка,NA,Congregatio duplex viri pauperi,NA,NA,NA,NA,NA
NGC 1893,Letter Y Cluster,حشد حرف واي,字母星团,NA,NA,Y-Haufen,Ammasso Lettera Y,Y자 성단,NA,Cúmulo Letra Y,Скопление Буква Y,NA,NA,NA,NA,NA,NA,NA
NGC 1910,S Dor Cluster,‎حشد إس أبو سيف‎,剑鱼座星团,S Doradus -joukko,NA,S Dor-Haufen,NA,S Dor 성단,NA,Cúmulo S Dor,Скопление S Золотой рыбы,かじき座S星団,NA,NA,NA,NA,NA,NA
NGC 1912,Starfish Cluster,‎‎حشد سمكة النجمة‎‎,海星星团,Meritähtijoukko,Amas de l'Étoile de mer,Seestern-Haufen,Amasso Stella Marina,불가사리 성단,خوشه ستاره دریایی,Cúmulo Estrella de Mar,Скопление Морская звезда,NA,NA,NA,NA,NA,NA,NA
