id,name,ar,zh,fi,fr,de,it,ko,fa,es,ru,ja,la,tr,el,he,hi,en
LDN 1613,Cone Nebula,‎‎سديم الكوز‎‎,圆锥星云,Kartiosumu,Nébuleuse du Cône,Konus-Nebel,Nebulosa Cono,옥수수 성운,سحابی مخروطی,Nebulosa del Cono,Туманность Конус,コーン星雲,Nebula Coniforma,NA,NA,NA,NA,NA
PGC 120,Taffy Galaxies,‎مجرات حلوى التافي‎,太妃糖星系,Toffeegalaksit,Galaxies des Bonbons fondants,Taffy-Galaxien,Galassie Taffy,태피 은하,کهکشانهای آبنباتی,Galaxias Taffy,Галактики Тэффи,NA,NA,NA,NA,NA,NA,NA
PGC 129,Taffy Galaxies,‎مجرات حلوى التافي‎,太妃糖星系,Toffeegalaksit,Galaxies des Bonbons fondants,Taffy-Galaxien,Galassie Taffy,태피 은하,کهکشانهای آبنباتی,Galaxias Taffy,Галактики Тэффи,NA,NA,NA,NA,NA,NA,NA
PGC 143,Wolf-Lundmark-Melotte,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,גלקסיית וולף-לונדמרק-מלוט,NA,NA
PGC 621,Sculptor Dwarf Irregular Galaxy,‎مجرة النحات القزمة غير المنتظمة‎,玉夫座矮不规则星系,Kuvanveistäjän epäsäännöllinen kääpiögalaksi,Galaxie naine irrégulière du Sculpteur,Sculptor irreguläre Zwerggalaxie,Galassia Nana Irregolare dello Scultore,조각가자리 왜소 불규칙 은하,NA,Galaxia Irregular Enana del Escultor,Неправильная карликовая галактика Скульптора,ちょうこくしつ座不規則矮小銀河,NA,NA,NA,NA,NA,NA
PGC 2121,Andromeda III Dwarf Galaxy,‎‎مجرة المرأة المسلسلة القزمة 3‎‎,仙女座矮星系,Andromedan III. kääpiögalaksi,Galaxie naine Andromède III,Andromeda III Zwerggalaxie,Galassia nana sferoidale Andromeda III,안드로메다자리 III 왜소 은하,کهکشان کوتوله آندرومدا3,Galaxia Enana Andrómeda III,Карликовая галактика Андромеда III,アンドロメダ座矮小銀河III,NA,NA,NA,NA,NA,NA
PGC 2248,Cartwheel Galaxy,‎مجرة عجلة العربة‎,车轮星系,Kärrynpyörägalaksi,Galaxie de la Roue de char,Wagenradgalaxie,Galassia  Ruota di Carro,수레바퀴 은하,NA,Galaxia Rueda de Carro,Галактика Колесо телеги,車輪銀河,NA,NA,NA,NA,NA,NA
PGC 2345,Exclamation Mark Galaxy,‎مجرة علامة التعجب‎,感叹号星系,NA,Galaxie du Point d'exclamation,Rufzeichen-Galaxie,Galassia Punto Esclamativo,느낌표 은하,NA,Galaxia Signo de Exclamación,Галактика Восклицательный знак,NA,NA,NA,NA,NA,NA,NA
PGC 2666,Andromeda I Dwarf Galaxy,‎‎مجرة المرأة المسلسلة القزمة 1‎‎,仙女座矮星系,Andromedan I. kääpiögalaksi,Galaxie naine Andromède I,Andromeda I Zwerggalaxie,Galassia nana sferoidale Andromeda I,안드로메다자리 I 왜소 은하,کهکشان کوتوله آندرومدا1,Galaxia Enana Andrómeda I,Карликовая галактика Андромеда I,アンドロメダ座矮小銀河I,NA,NA,NA,NA,NA,NA
PGC 2906,Baade's Galaxy A,‎مجرة باد أ‎,巴德星系,NA,Galaxie A de Baade,Baades Galaxie A,Galassia A di Baade,바데의 은하 A,NA,Galaxia A de Baade,Галактика Баадэ A,バーデの銀河A,Baadei Galaxia A,NA,NA,NA,NA,NA
PGC 2907,Baade's Galaxy B,‎مجرة باد ب‎,巴德星系,NA,Galaxie B de Baade,Baades Galaxie B,Galassia B di Baade,바데의 은하 B,NA,Galaxia B de Baade,Галактика Баадэ B,バーデの銀河B,Baadei Galaxia B,NA,NA,NA,NA,NA
PGC 3589,Sculptor Dwarf Galaxy,‎‎مجرة النحات القزمة‎‎,玉夫座矮星系,Kuvanveistäjän kääpiögalaksi,Galaxie naine du Sculpteur,Sculptor-Zwerggalaxie,Galassia Nana dello Scultore,조각가자리 왜소 은하,کهکشان کوتوله سنگ تراش,Galaxia Enana del Escultor,Карликовая галактика Скульптора,ちょうこくしつ座矮小銀河,NA,NA,NA,גלקסיית פסל הננסית,NA,NA
PGC 3792,Pisces Dwarf Galaxy,‎‎مجرة الحوت القزمة‎‎,双鱼座矮星系,Kalojen kääpiögalaksi,Galaxie naine des Poissons,Pisces-Zwerggalaxie,Galassia Nana dei Pesci,물고기자리 왜소 은하,کهکشان کوتوله حوت,Galaxia Enana de Piscis,Карликовая галактика Рыб,うお座矮小銀河,NA,NA,NA,NA,NA,NA
PGC 3853,Shapley-Ames 1,‎شابلي-أيمز 1‎,夏普利-艾姆斯,NA,NA,NA,NA,셰이프리-에임스 1,NA,NA,Шэпли-Эймс 1,NA,NA,NA,NA,NA,NA,NA
PGC 4601,Andromeda II,‎المرأة المسلسلة 2‎,仙女座,NA,NA,NA,NA,안드로메다자리 II,NA,Andrómeda II,Андромеда II,アンドロメダ座II,NA,NA,NA,NA,NA,NA
PGC 6240,White Rose Galaxy,‎مجرة الوردة البيضاء‎,白玫瑰星系,NA,Galaxie de la Rose blanche,Weiße Rose-Galaxie,Galassia Bianco Rosa,하얀 장미 은하,NA,Galaxia Rosa Blanca,Галактика Белая роза,NA,Alba rosa galaxia,NA,NA,NA,NA,NA
PGC 6830,Phoenix Dwarf Galaxy,‎‎مجرة العنقاء القزمة‎‎,凤凰座矮星系,Feeniksin kääpiögalaksi,Galaxie naine du phénix,Phoenix-Zwerggalaxie,Galassia Nana della Fenice,봉황자리 왜소 은하,کهکشان کوتوله سیمرغ,Galaxia Enana del Fénix,Карликовая галактика Феникса,ほうおう座矮小銀河,NA,NA,NA,NA,NA,NA
PGC 9892,Maffei 1,‎‎مافي_1‎‎,马费伊1,NA,NA,NA,NA,마페이 1,کهکشان بیضوی عظیم مافی 1,NA,Маффей 1,マフェイ1,NA,NA,NA,NA,NA,NA
PGC 10074,Fornax Dwarf Galaxy,‎‎مجرة الفرن القزمة‎‎,天炉座矮星系,Sulatusuunin kääpiögalaksi,Galaxie naine du Four,Fornax-Zwerggalaxie,Galassia Nana della Fornace,화로자리 왜소 은하,کهکشان کوتوله کوره,Galaxia Enana de Fórnax,Карликовая галактика Печи,ろ座矮小銀河,NA,NA,NA,NA,NA,NA
PGC 10217,Maffei 2,‎‎مافي_2‎‎,马费伊2,NA,NA,NA,NA,마페이 2,کهکشان مارپیچ مافی 2,NA,Маффей 2,マフェイ2,NA,NA,NA,NA,NA,NA
PGC 12737,Holmberg VI,‎‎هولمبرج 6‎‎,霍姆伯格,NA,NA,NA,NA,홈버그 VI,NA,NA,Холмберг VI,NA,NA,NA,NA,NA,NA,NA
PGC 14098,E1 Cluster,‎حشد إي_1‎,1星团,NA,Amas E1,E1-Haufen,Ammasso E1,E1 성단,NA,Cúmulo E1,Скопление E1,NA,NA,NA,NA,NA,NA,NA
