id,name,en,pinyin,desig,rank,display_ra,display_dec,display_scale
73,𫓧钺,Axe,Fu Yue,𫓧钺,3,-3.3837,-18.4681,2.4
74,𫓧锧,Sickle,Fu Zhi,𫓧锧,3,26.201,-21.8023,7.6
75,扶筐,Basket for Mulberry Leaves,Fu Kuang,扶筐,3,-78.8963,56.3926,10.3
76,附白,White Patched Nearby,Fu Bai,附白,3,49.7142,-74.6529,14.2
77,附路,Auxiliary Road,Fu Lu,附路,3,9.2429,53.8969,0
78,傅说,Fu Yue,Fu Yue,傅说,3,-92.5355,-37.0433,0
79,盖屋,Roofing,Gai Wu,盖屋,3,-28.9869,-1.5308,1.2
80,杠(附官),Canopy Support (Vassal of Canopy of the Emperor),Gang,杠(附官),3,40.1985,73.1899,34.8
81,阁道,Flying Corridor,Ge Dao,阁道,3,24.2239,57.8435,26.1
82,梗河,Celestial Lance,Geng He,梗河,3,-140.3979,28.7228,3.3
83,勾陈,Curved Array,Gou Chen,勾陈,3,-43.0154,83.5293,11.5
84,钩钤(附官),Lock (Vassal of Room),Gou Qian,钩钤(附官),3,-118.3947,-20.3371,1.1
85,狗,Dog,Gou,狗,3,-67.2522,-24.6961,2.9
86,狗国,Territory of Dog,Gou Guo,狗国,3,-60.1879,-26.9528,1.7
87,贯索,Coiled Thong,Guan Suo,贯索,3,-123.841,29.686,8.4
88,爟,Beacon Fire,Guan,爟,3,124.6144,26.8394,5.6
89,龟,Tortoise,Gui,龟,3,-102.3895,-56.9221,10.3
90,海山,Sea and Mountain,Hai Shan,海山,3,166.6857,-62.7341,19.4
91,海石,Sea Rock,Hai Shi,海石,3,136.202,-62.1509,21.1
93,河鼓,Drum at the River,He Gu,河鼓,3,-62.3034,8.5101,4.2
94,鹤,Crane,He,鹤,3,-19.2921,-48.6838,19.1
95,衡,Railings,Heng,衡,3,-150.5561,-41.8266,4.1
96,候,Astrologer,Hou,候,3,-96.2664,12.56,0
97,弧矢,Bow and Arrow,Hu Shi,弧矢,3,110.9387,-31.9529,17
98,斛,Dipper for Solids,Hu,斛,3,-107.0625,8.7066,3
99,虎贲,Emperor's Bodyguard,Hu Ben,虎贲,3,168.801,23.0955,0
