id,name,desig,en,pinyin
83207,天纪三,ε Her,Celestial Discipline III,Tiānjì III
83262,车肆增二,30 Oph,Commodity Market Added II,Chēsì zēng II
83313,天纪四,d Her,Celestial Discipline IV,Tiānjì IV
83331,宋增二,29 Oph,Song Added II,Sòng zēng II
83430,宦者一,32 Oph,Eunuch Official I,Huànzhě I
83462,天纪五,61 Her,Celestial Discipline V,Tiānjì V
83478,宦者二,HD154228,Eunuch Official II,Huànzhě II
83504,宦者增四,HD154278,Eunuch Official Added IV,Huànzhě zēng IV
83508,天江增十,HD154021,Celestial River Added X,Tiānjiāng zēng X
83566,天江增十一,HD154132,Celestial River Added XI,Tiānjiāng zēng XI
83608,天棓增九,μ Dra,Celestial Flail Added IX,Tiānbàng zēng IX
83613,宦者三,60 Her,Eunuch Official III,Huànzhě III
83684,天江增八,HD154418,Celestial River Added VIII,Tiānjiāng zēng VIII
83830,魏增四,HIP83830,Wei Added IV,Wèi zēng IV
83876,魏增五,HD155104,Wei Added V,Wèi zēng V
83895,上弼,ζ Dra,The Great Protector,Shàngbì
84012,宋,η Oph,Song,Sòng
84143,尾宿四,η Sco,Tail IV,Wěixiù IV
84177,宦者四,37 Oph,Eunuch Official IV,Huànzhě IV
84314,天江一,HD155685,Celestial River I,Tiānjiāng I
84345,帝座,α1 Her,Emperor's Seat,Dìzuò
84379,魏,δ Her,Wei,Wèi
84380,女床一,π Her,Woman's Bed I,Nǚchuáng I
84405,天江二,A Oph,Celestial River II,Tiānjiāng II
84478,天江增三,V2215 Oph,Celestial River Added III,Tiānjiāng zēng III
84514,宗正增三,41 Oph,Official for the Royal Clan Added III,Zōngzhèng zēng III
84535,勾陈增五,λ UMi,Curved Array Added V,Gōuchén zēng V
84573,天纪六,u Her,Celestial Discipline VI,Tiānjì VI
84605,天江增二,HD156252,Celestial River Added II,Tiānjiāng zēng II
84606,女床二,e Her,Woman's Bed II,Nǚchuáng II
84626,天江增六,ο Oph,Celestial River Added VI,Tiānjiāng zēng VI
84671,宦者增五,e Oph,Eunuch Official Added V,Huànzhě zēng V
84835,天棓增七,74 Her,Celestial Flail Added VII,Tiānbàng zēng VII
84862,天纪增十三,w Her,Celestial Discipline Added XIII,Tiānjì zēng XIII
84880,市楼增一,ν Ser,Municipal Office Added I,Shìlóu zēng I
84887,魏增七,70 Her,Wei Added VII,Wèi zēng VII
84893,天江增七,ξ Oph,Celestial River Added VII,Tiānjiāng zēng VII
84947,天江增四,HD156992,Celestial River Added IV,Tiānjiāng zēng IV
84969,异雀一,ζ Aps,Exotic Bird I,Yìquè I
84970,天江三,θ Oph,Celestial River III,Tiānjiāng III
84979,异雀二,ι Aps,Exotic Bird II,Yìquè II
85084,天江增一,43 Oph,Celestial River Added I,Tiānjiāng zēng I
85112,女床三,ρ Her,Woman's Bed III,Nǚchuáng III
85157,魏增八,73 Her,Wei Added VIII,Wèi zēng VIII
85181,天纪增十五,HD157910,Celestial Discipline Added XV,Tiānjì zēng XV
