id,name,desig,en,pinyin
43,王良增九,HD224784,Wang Liang Added IX,Wángliáng zēng IX
124,王良增十,HD224893,Wang Liang Added X,Wángliáng zēng X
145,垒壁阵十,29 Psc,Line of Ramparts X,Lěibìzhèn X
154,垒壁阵十二,30 Psc,Line of Ramparts XII,Lěibìzhèn XII
171,壁宿增五,85 Peg,Wall Added V,Bìxiù zēng V
186,土公增一,31 Psc,Official for Earthworks and Buildings Added I,Tǔgōng zēng I
194,土公一,c Psc,Official for Earthworks and Buildings I,Tǔgōng I
301,八魁二,2 Cet,Net for Catching Birds II,Bākuí II
330,王良增三,9 Cas,Wang Liang Added III,Wángliáng zēng III
355,八魁四,3 Cet,Net for Catching Birds IV,Bākuí IV
443,垒壁阵十一,33 Psc,Line of Ramparts XI,Lěibìzhèn XI
476,壁宿增十,86 Peg,Wall Added X,Bìxiù zēng X
531,王良增二,10 Cas,Wang Liang Added II,Wángliáng zēng II
635,垒壁阵增六,4 Cet,Line of Ramparts Added VI,Lěibìzhèn zēng VI
664,垒壁阵增七,5 Cet,Line of Ramparts Added VII,Lěibìzhèn zēng VII
677,壁宿二,α And,Wall II,Bìxiù II
729,壁宿增十八,87 Peg,Wall Added XVIII,Bìxiù zēng XVIII
746,王良一,β Cas,Wang Liang I,Wángliáng I
765,火鸟四,ε Phe,Firebird IV,Huǒniǎo IV
813,土公增二,34 Psc,Official for Earthworks and Buildings Added II,Tǔgōng zēng II
841,螣蛇增十九,22 And,Flying Serpent Added XIX,Téngshé zēng XIX
910,八魁一,6 Cet,Net for Catching Birds I,Bākuí I
1067,壁宿一,γ Peg,Wall I,Bìxiù I
1086,天厩增一,23 And,Celestial Stable Added I,Tiānjiù zēng I
1168,壁宿增十九,χ Peg,Wall Added XIX,Bìxiù zēng XIX
1170,八魁六,7 Cet,Net for Catching Birds VI,Bākuí VI
1196,土公增三,35 Psc,Official for Earthworks and Buildings Added III,Tǔgōng zēng III
1319,土公增四,36 Psc,Official for Earthworks and Buildings Added IV,Tǔgōng zēng IV
1340,壁宿增十一,HIP1340,Wall Added XI,Bìxiù zēng XI
1354,王良增十一,HD1239,Wang Liang Added XI,Wángliáng zēng XI
1366,天厩一,θ And,Celestial Stable I,Tiānjiù I
1427,壁宿增十七,HIP1427,Wall Added XVII,Bìxiù zēng XVII
1473,天厩三,σ And,Celestial Stable III,Tiānjiù III
1499,天仓增十九,HD1461,Square Celestial Granary Added XIX,Tiāncāng zēng XIX
1562,天仓一,ι Cet,Square Celestial Granary I,Tiāncāng I
1595,壁宿增十六,40 Psc,Wall Added XVI,Bìxiù zēng XVI
1599,鸟喙六,ζ Tuc,Bird's Beak VI,Niǎohuì VI
1645,土公增五,d Psc,Official for Earthworks and Buildings Added V,Tǔgōng zēng V
1686,天厩二,ρ And,Celestial Stable II,Tiānjiù II
1772,壁宿增十二,42 Psc,Wall Added XII,Bìxiù zēng XII
1803,八魁五,9 Cet,Net for Catching Birds V,Bākuí V
1948,壁宿增十三,HD2035,Wall Added XIII,Bìxiù zēng XIII
1960,王良增四,12 Cas,Wang Liang Added IV,Wángliáng zēng IV
1982,王良增十二,HD2054,Wang Liang Added XII,Wángliáng zēng XII
2006,土公增七,44 Psc,Official for Earthworks and Buildings Added VII,Tǔgōng zēng VII
2021,蛇尾一,β Hyi,Snake's Tail I,Shéwěi I
2025,土公二,45 Psc,Official for Earthworks and Buildings II,Tǔgōng II
2072,火鸟五,κ Phe,Firebird V,Huǒniǎo V
2081,火鸟六,α Phe,Firebird VI,Huǒniǎo VI
2100,土公增八,10 Cet,Official for Earthworks and Buildings Added VIII,Tǔgōng zēng VIII
2213,壁宿增廿一,46 Psc,Wall Added XXI,Bìxiù zēng XXI
2219,壁宿增廿,47 Psc,Wall Added XX,Bìxiù zēng XX
2224,壁宿增十五,48 Psc,Wall Added XV,Bìxiù zēng XV
2343,土公增九,HIP2343,Official for Earthworks and Buildings Added IX,Tǔgōng zēng IX
2353,天溷增一,12 Cet,Celestial Pigsty Added I,Tiānhùn zēng I
2355,奎宿增一,28 And,Legs Added I,Kuíxiù zēng I
2415,壁宿增十四,HD2714,Wall Added XIV,Bìxiù zēng XIV
2472,火鸟八,λ1 Phe,Firebird VIII,Huǒniǎo VIII
2474,传舍增一,13 Cas,Guest House Added I,Chuánshè zēng I
2484,鸟喙四,β1 Tuc,Bird's Beak IV,Niǎohuì IV
2505,王良五,λ Cas,Wang Liang V,Wángliáng V
2548,土公增六,51 Psc,Official for Earthworks and Buildings Added VI,Tǔgōng zēng VI
2568,壁宿增廿三,52 Psc,Wall Added XXIII,Bìxiù zēng XXIII
2599,王良二,κ Cas,Wang Liang II,Wángliáng II
2707,传舍二,16 Cas,Guest House II,Chuánshè II
2762,天溷增二,13 Cet,Celestial Pigsty Added II,Tiānhùn zēng II
2787,土公增十,14 Cet,Official for Earthworks and Buildings Added X,Tǔgōng zēng X
2854,王良增十三,HD3240,Wang Liang Added XIII,Wángliáng zēng XIII
2912,奎宿六,π And,Legs VI,Kuíxiù VI
2920,附路,ζ Cas,Auxiliary Road,Fùlù
2994,土公增十一,15 Cet,Official for Earthworks and Buildings Added XI,Tǔgōng zēng XI
3031,奎宿四,ε And,Legs IV,Kuíxiù IV
3092,奎宿五,δ And,Legs V,Kuíxiù V
3093,奎宿增三,54 Psc,Legs Added III,Kuíxiù zēng III
3138,奎宿增二,55 Psc,Legs Added II,Kuíxiù zēng II
3179,王良四,α Cas,Wang Liang IV,Wángliáng IV
3231,奎宿增廿二,32 And,Legs Added XXII,Kuíxiù zēng XXII
3245,火鸟七,μ Phe,Firebird VII,Huǒniǎo VII
3300,阁道增二,ξ Cas,Flying Corridor Added II,Gédào zēng II
3330,鸟喙五,ρ Tuc,Bird's Beak V,Niǎohuì V
3405,水委三,η Phe,Crooked Running Water III,Shuǐweǐ III
3414,阁道增一,π Cas,Flying Corridor Added I,Gédào zēng I
3419,土司空,β Cet,Master of Constructions,Tǔsīkōng
3455,天溷四,φ1 Cet,Celestial Pigsty IV,Tiānhùn IV
3504,阁道六,ο Cas,Flying Corridor VI,Gédào VI
3559,天溷三,18 Cet,Celestial Pigsty III,Tiānhùn III
3572,少丞增一,21 Cas,The Second Imperial Minister Added I,Shàochéng zēng I
3685,奎宿增四,59 Psc,Legs Added IV,Kuíxiù zēng IV
3693,奎宿二,ζ And,Legs II,Kuíxiù II
3697,外屏增九,60 Psc,Outer Fence Added IX,Wàipíng zēng IX
3721,少丞,23 Cas,The Second Imperial Minister,Shàochéng
3760,外屏增八,62 Psc,Outer Fence Added VIII,Wàipíng zēng VIII
3786,外屏一,δ Psc,Outer Fence I,Wàipíng I
3801,阁道五,ν Cas,Flying Corridor V,Gédào V
3810,奎宿增五,64 Psc,Legs Added V,Kuíxiù zēng V
3821,王良三,η Cas,Wang Liang III,Wángliáng III
3881,奎宿七,ν And,Legs VII,Kuíxiù VII
3885,奎宿三,i Psc,Legs III,Kuíxiù III
3909,天溷增六,φ2 Cet,Celestial Pigsty Added VI,Tiānhùn zēng VI
4147,天溷增三,20 Cet,Celestial Pigsty Added III,Tiānhùn zēng III
4151,王良增十四,HD5015,Wang Liang Added XIV,Wángliáng zēng XIV
4257,天溷一,21 Cet,Celestial Pigsty I,Tiānhùn I
4267,奎宿增六,66 Psc,Legs Added VI,Kuíxiù zēng VI
4288,奎宿增九,36 And,Legs Added IX,Kuíxiù zēng IX
4366,奎宿增十,k Psc,Legs Added X,Kuíxiù zēng X
4371,天溷二,φ3 Cet,Celestial Pigsty II,Tiānhùn II
4422,王良增五,υ2 Cas,Wang Liang Added V,Wángliáng zēng V
4427,策,γ Cas,Whip,Cè
4436,奎宿八,μ And,Legs VIII,Kuíxiù VIII
4463,奎宿一,η And,Legs I,Kuíxiù I
4510,奎宿增十一,h Psc,Legs Added XI,Kuíxiù zēng XI
4587,天溷增五,φ4 Cet,Celestial Pigsty Added V,Tiānhùn zēng V
4714,传舍三,HIP4714,Guest House III,Chuánshè III
4832,外屏增七,HIP4832,Outer Fence Added VII,Wàipíng zēng VII
4889,奎宿增十五,σ Psc,Legs Added XV,Kuíxiù zēng XV
4903,奎宿增廿,39 And,Legs Added XX,Kuíxiù zēng XX
4906,外屏二,ε Psc,Outer Fence II,Wàipíng II
4914,天溷增四,25 Cet,Celestial Pigsty Added IV,Tiānhùn zēng IV
4979,外屏增十,26 Cet,Outer Fence Added X,Wàipíng zēng X
5074,外屏增六,73 Psc,Outer Fence Added VI,Wàipíng zēng VI
5081,外屏增一,72 Psc,Outer Fence Added I,Wàipíng zēng I
5121,天仓增十四,27 Cet,Square Celestial Granary Added XIV,Tiāncāng zēng XIV
5131,奎宿十六,ψ1 Psc,Legs XVI,Kuíxiù XVI
5141,外屏增五,77 Psc,Outer Fence Added V,Wàipíng zēng V
5164,天仓增十三,28 Cet,Square Celestial Granary Added XIII,Tiāncāng zēng XIII
5165,火鸟九,β Phe,Firebird IX,Huǒniǎo IX
5175,奎宿十,76 Psc,Legs X,Kuíxiù X
5204,外屏增二,75 Psc,Outer Fence Added II,Wàipíng zēng II
5296,天仓增十二,30 Cet,Square Celestial Granary Added XII,Tiāncāng zēng XII
5310,奎宿增八,ψ2 Psc,Legs Added VIII,Kuíxiù zēng VIII
5315,外屏增十一,29 Cet,Outer Fence Added XI,Wàipíng zēng XI
5317,奎宿增十九,41 And,Legs Added XIX,Kuíxiù zēng XIX
5319,奎宿增十四,78 Psc,Legs Added XIV,Kuíxiù zēng XIV
5346,外屏增四,e Psc,Outer Fence Added IV,Wàipíng zēng IV
5348,水委二,ζ Phe,Crooked Running Water II,Shuǐweǐ II
5364,天仓二,η Cet,Square Celestial Granary II,Tiāncāng II
5372,勾陈五,2 UMi,Curved Array V,Gōuchén V
5434,军南门,φ And,Southern Military Gate,Jūnnánmén
5447,奎宿九,β And,Legs IX,Kuíxiù IX
5454,奎宿增七,ψ3 Psc,Legs Added VII,Kuíxiù zēng VII
5485,天仓增十一,32 Cet,Square Celestial Granary Added XI,Tiāncāng zēng XI
5493,奎宿增十八,44 And,Legs Added XVIII,Kuíxiù zēng XVIII
5510,外屏增十二,33 Cet,Outer Fence Added XII,Wàipíng zēng XII
5518,华盖四,31 Cas,Canopy of the Emperor IV,Huágài IV
5542,阁道四,θ Cas,Flying Corridor IV,Gédào IV
5544,奎宿增十三,g Psc,Legs Added XIII,Kuíxiù zēng XIII
5550,奎宿增十六,45 And,Legs Added XVI,Kuíxiù zēng XVI
5571,奎宿十五,χ Psc,Legs XV,Kuíxiù XV
5586,奎宿十一,τ Psc,Legs XI,Kuíxiù XI
5589,传舍四,32 Cas,Guest House IV,Chuánshè IV
5594,天仓增四,34 Cet,Square Celestial Granary Added IV,Tiāncāng zēng IV
5626,五帝内座增二,HD6798,Interior Seats of the Five Emperors Added II,Wǔdìnèizuò zēng II
5646,外屏增十三,35 Cet,Outer Fence Added XIII,Wàipíng zēng XIII
5666,天仓增十,HD7268,Square Celestial Granary Added X,Tiāncāng zēng X
5737,外屏三,ζ Psc,Outer Fence III,Wàipíng III
5742,奎宿十四,φ Psc,Legs XIV,Kuíxiù XIV
5799,天仓增九,37 Cet,Square Celestial Granary Added IX,Tiāncāng zēng IX
5824,外屏增三,88 Psc,Outer Fence Added III,Wàipíng zēng III
5833,天仓增三,38 Cet,Square Celestial Granary Added III,Tiāncāng zēng III
5926,华盖三,V0762 Cas,Canopy of the Emperor III,Huágài III
5947,五帝内座增三,HD7238,Interior Seats of the Five Emperors Added III,Wǔdìnèizuò zēng III
5951,天仓增六,39 Cet,Square Celestial Granary Added VI,Tiāncāng zēng VI
5985,天仓增五,40 Cet,Square Celestial Granary Added V,Tiāncāng zēng V
6048,天仓增八,HD7812,Square Celestial Granary Added VIII,Tiāncāng zēng VIII
6061,外屏增十四,f Psc,Outer Fence Added XIV,Wàipíng zēng XIV
6193,奎宿增廿三,υ Psc,Legs Added XXIII,Kuíxiù zēng XXIII
6226,天仓增二,42 Cet,Square Celestial Granary Added II,Tiāncāng zēng II
6242,阁道增三,φ Cas,Flying Corridor Added III,Gédào zēng III
6315,奎宿十二,l Psc,Legs XII,Kuíxiù XII
6411,天大将军增二,ξ And,Great General of Heaven Added II,Tiāndàjiāngjūn zēng II
6429,天仓增一,43 Cet,Square Celestial Granary Added I,Tiāncāng zēng I
6451,右更增五,HD8356,Official in Charge of Pasturing Added V,Yòugēng zēng V
6514,奎宿增十七,47 And,Legs Added XVII,Kuíxiù zēng XVII
6537,天仓三,θ Cet,Square Celestial Granary III,Tiāncāng III
6539,天仓增七,44 Cet,Square Celestial Granary Added VII,Tiāncāng zēng VII
6670,天仓增十五,46 Cet,Square Celestial Granary Added XV,Tiāncāng zēng XV
6686,阁道三,δ Cas,Flying Corridor III,Gédào III
6692,华盖五,ψ Cas,Canopy of the Emperor V,Huágài V
6706,右更一,ρ Psc,Official in Charge of Pasturing I,Yòugēng I
6732,右更增一,94 Psc,Official in Charge of Pasturing Added I,Yòugēng zēng I
6748,天仓增十六,47 Cet,Square Celestial Granary Added XVI,Tiāncāng zēng XVI
6813,天大将军增三,ω And,Great General of Heaven Added III,Tiāndàjiāngjūn zēng III
6867,火鸟十,γ Phe,Firebird X,Huǒniǎo X
6960,𫓧锧一,48 Cet,Sickle I,Fūzhì I
6999,天大将军四,A And,Great General of Heaven IV,Tiāndàjiāngjūn IV
7007,外屏四,μ Psc,Outer Fence IV,Wàipíng IV
7078,杠九,38 Cas,Canopy Support IX,Gàng IX
7083,天园一,δ Phe,Celestial Orchard I,Tiānyuán I
7097,右更二,η Psc,Official in Charge of Pasturing II,Yòugēng II
7294,阁道增四,χ Cas,Flying Corridor Added IV,Gédào zēng IV
7345,天仓增十八,49 Cet,Square Celestial Granary Added XVIII,Tiāncāng zēng XVIII
7364,右更增四,HIP7364,Official in Charge of Pasturing Added IV,Yòugēng zēng IV
7436,右更增二,101 Psc,Official in Charge of Pasturing Added II,Yòugēng zēng II
7450,天仓增十七,50 Cet,Square Celestial Granary Added XVII,Tiāncāng zēng XVII
7513,天大将军六,υ And,Great General of Heaven VI,Tiāndàjiāngjūn VI
7535,右更三,π Psc,Official in Charge of Pasturing III,Yòugēng III
7588,水委一,α Eri,Crooked Running Water I,Shuǐweǐ I
7607,天大将军三,51 And,Great General of Heaven III,Tiāndàjiāngjūn III
7650,华盖二,40 Cas,Canopy of the Emperor II,Huágài II
7679,𫓧锧二,HD10148,Sickle II,Fūzhì II
7710,右更五,104 Psc,Official in Charge of Pasturing V,Yòugēng V
7719,天大将军五,χ And,Great General of Heaven V,Tiāndàjiāngjūn V
7818,天大将军增四,τ And,Great General of Heaven Added IV,Tiāndàjiāngjūn zēng IV
7884,外屏五,ν Psc,Outer Fence V,Wàipíng V
7948,奎宿增十二,HIP7948,Legs Added XII,Kuíxiù zēng XII
7965,华盖六,43 Cas,Canopy of the Emperor VI,Huágài VI
7981,娄宿增三,107 Psc,Bond Added III,Loúxiù zēng III
7999,天仓增廿,HD10550,Square Celestial Granary Added XX,Tiāncāng zēng XX
8016,杠八,42 Cas,Canopy Support VIII,Gàng VIII
8046,阁道增五,44 Cas,Flying Corridor Added V,Gédào zēng V
8068,天大将军二,φ Per,Great General of Heaven II,Tiāndàjiāngjūn II
8102,天仓五,τ Cet,Square Celestial Granary V,Tiāncāng V
8198,右更四,ο Psc,Official in Charge of Pasturing IV,Yòugēng IV
8271,娄宿增二,3 Ari,Bond Added II,Loúxiù zēng II
8497,天仓增廿一,χ Cet,Square Celestial Granary Added XXI,Tiāncāng zēng XXI
8588,右更增三,54 Cet,Official in Charge of Pasturing Added III,Yòugēng zēng III
8645,天仓四,ζ Cet,Square Celestial Granary IV,Tiāncāng IV
8704,大陵增四,1 Per,Mausoleum Added IV,Dàlíng zēng IV
8714,天大将军增十六,2 Per,Great General of Heaven Added XVI,Tiāndàjiāngjūn zēng XVI
8796,娄宿增六,α Tri,Bond Added VI,Loúxiù zēng VI
8814,天大将军增十一,55 And,Great General of Heaven Added XI,Tiāndàjiāngjūn zēng XI
8832,娄宿二,γ1 Ari,Bond II,Loúxiù II
8833,外屏六,ξ Psc,Outer Fence VI,Wàipíng VI
8886,阁道二,ε Cas,Flying Corridor II,Gédào II
8903,娄宿一,β Ari,Bond I,Loúxiù I
8928,蛇腹四,η2 Hyi,Snake's Abdomen IV,Shéfù IV
9007,天园二,χ Eri,Celestial Orchard II,Tiānyuán II
9009,华盖七,ω Cas,Canopy of the Emperor VII,Huágài VII
9021,天大将军八,56 And,Great General of Heaven VIII,Tiāndàjiāngjūn VIII
9061,𫓧锧五,56 Cet,Sickle V,Fūzhì V
9110,娄宿增一,ι Ari,Bond Added I,Loúxiù zēng I
9153,娄宿增五,λ Ari,Bond Added V,Loúxiù zēng V
9165,天囷增二,58 Cet,Circular Celestial Granary Added II,Tiānqūn zēng II
9222,天大将军增十五,3 Per,Great General of Heaven Added XV,Tiāndàjiāngjūn zēng XV
9236,蛇首一,α Hyi,Snake's Head I,Shéshǒu I
9326,天仓六,57 Cet,Square Celestial Granary VI,Tiāncāng VI
9347,𫓧锧四,υ Cet,Sickle IV,Fūzhì IV
9353,外屏增十五,112 Psc,Outer Fence Added XV,Wàipíng zēng XV
9480,杠七,A Cas,Canopy Support VII,Gàng VII
9487,外屏七,α Psc,Outer Fence VII,Wàipíng VII
9505,大陵增五,g Per,Mausoleum Added V,Dàlíng zēng V
9570,天大将军增五,ε Tri,Great General of Heaven Added V,Tiāndàjiāngjūn zēng V
9589,天囷增四,60 Cet,Circular Celestial Granary Added IV,Tiānqūn zēng IV
9598,杠五,50 Cas,Canopy Support V,Gàng V
9621,娄宿增七,10 Ari,Bond Added VII,Loúxiù zēng VII
9631,天囷增三,61 Cet,Circular Celestial Granary Added III,Tiānqūn zēng III
9640,天大将军一,γ1 And,Great General of Heaven I,Tiāndàjiāngjūn I
9677,天庾一*,ν For,Ricks of Grain I*,Tiānyǔ I*
9727,五帝内座增一,47 Cas,Interior Seats of the Five Emperors Added I,Wǔdìnèizuò zēng I
9763,杠三,49 Cas,Canopy Support III,Gàng III
9802,杠四,HIP9802,Canopy Support IV,Gàng IV
9836,娄宿增十一,κ Ari,Bond Added XI,Loúxiù zēng XI
9859,娄宿增八,11 Ari,Bond Added VIII,Loúxiù zēng VIII
9884,娄宿三,α Ari,Bond III,Loúxiù III
9977,天大将军增九,58 And,Great General of Heaven Added IX,Tiāndàjiāngjūn zēng IX
10031,杠六,54 Cas,Canopy Support VI,Gàng VI
10033,天囷增一,HIP10033,Circular Celestial Granary Added I,Tiānqūn zēng I
10053,娄宿增九,14 Ari,Bond Added IX,Loúxiù zēng IX
10064,天大将军九,β Tri,Great General of Heaven IX,Tiāndàjiāngjūn IX
10155,娄宿增十四,15 Ari,Bond Added XIV,Loúxiù zēng XIV
10176,天大将军增十,59 And,Great General of Heaven Added X,Tiāndàjiāngjūn zēng X
10212,天囷增六,64 Cet,Circular Celestial Granary Added VI,Tiānqūn zēng VI
10215,刍藁增一,HD13456,Hay Added I,Chúgǎo zēng I
10227,大陵增三,5 Per,Mausoleum Added III,Dàlíng zēng III
10234,天囷十二,63 Cet,Circular Celestial Granary XII,Tiānqūn XII
10280,天大将军增六,6 Tri,Great General of Heaven Added VI,Tiāndàjiāngjūn zēng VI
10305,天囷十三,66 Cet,Circular Celestial Granary XIII,Tiānqūn XIII
10306,娄宿增十二,η Ari,Bond Added XII,Loúxiù zēng XII
10324,天囷五,ξ1 Cet,Circular Celestial Granary V,Tiānqūn V
10328,娄宿增十五,19 Ari,Bond Added XV,Loúxiù zēng XV
10340,天大将军增十二,b And,Great General of Heaven Added XII,Tiāndàjiāngjūn zēng XII
10366,大陵增六,6 Per,Mausoleum Added VI,Dàlíng zēng VI
10438,传舍五,55 Cas,Guest House V,Chuánshè V
10540,娄宿增十,20 Ari,Bond Added X,Loúxiù zēng X
10559,天大将军增七,7 Tri,Great General of Heaven Added VII,Tiāndàjiāngjūn zēng VII
10602,天园三,φ Eri,Celestial Orchard III,Tiānyuán III
10642,刍藁三,67 Cet,Hay III,Chúgǎo III
10644,天大将军十一,δ Tri,Great General of Heaven XI,Tiāndàjiāngjūn XI
10670,天大将军十,γ Tri,Great General of Heaven X,Tiāndàjiāngjūn X
10718,大陵增二,8 Per,Mausoleum Added II,Dàlíng zēng II
10729,大陵增一,χ Per,Mausoleum Added I,Dàlíng zēng I
10732,娄宿增十三,θ Ari,Bond Added XIII,Loúxiù zēng XIII
10793,胃宿增一,10 Tri,Stomach Added I,Wèixiù zēng I
10819,天大将军增十三,c And,Great General of Heaven Added XIII,Tiāndàjiāngjūn zēng XIII
10826,刍藁增二,ο Cet,Hay Added II,Chúgǎo zēng II
10830,天大将军增十四,HD14221,Great General of Heaven Added XIV,Tiāndàjiāngjūn zēng XIV
10944,大陵增七,63 And,Mausoleum Added VII,Dàlíng zēng VII
11001,蛇腹三,δ Hyi,Snake's Abdomen III,Shéfù III
11021,天囷增五,69 Cet,Circular Celestial Granary Added V,Tiānqūn zēng V
11029,刍藁五,HD14691,Hay V,Chúgǎo V
11046,天囷十一,70 Cet,Circular Celestial Granary XI,Tiānqūn XI
11060,大陵一,i Per,Mausoleum I,Dàlíng I
11220,大陵增八,64 And,Mausoleum Added VIII,Dàlíng zēng VIII
11249,天囷增七,ξ Ari,Circular Celestial Granary Added VII,Tiānqūn zēng VII
11261,刍藁四,71 Cet,Hay IV,Chúgǎo IV
11287,天苑增七,HIP11287,Celestial Meadows Added VII,Tiānyuàn zēng VII
11313,大陵增九,65 And,Mausoleum Added IX,Dàlíng zēng IX
11345,刍藁一,ρ Cet,Hay I,Chúgǎo I
11407,天园四,κ Eri,Celestial Orchard IV,Tiānyuán IV
11465,大陵增十,66 And,Mausoleum Added X,Dàlíng zēng X
11484,天囷六,ξ2 Cet,Circular Celestial Granary VI,Tiānqūn VI
11486,胃宿增二,12 Tri,Stomach Added II,Wèixiù zēng II
11569,阁道一,ι Cas,Flying Corridor I,Gédào I
11678,左更增一,26 Ari,Official in Charge of the Forest Added I,Zuǒgēng zēng I
11767,北极星,α UMi,Northern Star,Běijíxing
11783,天苑增九,σ Cet,Celestial Meadows Added IX,Tiānyuàn zēng IX
11784,天大将军增十七,14 Tri,Great General of Heaven Added XVII,Tiāndàjiāngjūn zēng XVII
11791,天囷十,75 Cet,Circular Celestial Granary X,Tiānqūn X
11918,天庾二*,ω For,Ricks of Grain II*,Tiānyǔ II*
12002,刍藁二,77 Cet,Hay II,Chúgǎo II
12048,刍藁增三,79 Cet,Hay Added III,Chúgǎo zēng III
12093,天囷七,ν Cet,Circular Celestial Granary VII,Tiānqūn VII
12107,刍藁增五,80 Cet,Hay Added V,Chúgǎo zēng V
12153,天囷增八,31 Ari,Circular Celestial Granary Added VIII,Tiānqūn zēng VIII
12247,刍藁增四,81 Cet,Hay Added IV,Chúgǎo zēng IV
12273,杠增一,HD15920,Canopy Support Added I,Gàng zēng I
12288,天庾增二,ι2 For,Ricks of Grain Added II,Tiānyǔ zēng II
12332,左更一,ν Ari,Official in Charge of the Forest I,Zuǒgēng I
12387,天囷九,δ Cet,Circular Celestial Granary IX,Tiānqūn IX
12390,刍藁六,ε Cet,Hay VI,Chúgǎo VI
12394,蛇腹二,ε Hyi,Snake's Abdomen II,Shéfù II
12413,天园五,s Eri,Celestial Orchard V,Tiānyuán V
12486,天园增一,ι Eri,Celestial Orchard Added I,Tiānyuán zēng I
12489,胃宿增五,33 Ari,Stomach Added V,Wèixiù zēng V
12530,天囷增廿,84 Cet,Circular Celestial Granary Added XX,Tiānqūn zēng XX
12623,大陵八,12 Per,Mausoleum VIII,Dàlíng VIII
12640,左更二,μ Ari,Official in Charge of the Forest II,Zuǒgēng II
12647,天囷增九,85 Cet,Circular Celestial Granary Added IX,Tiānqūn zēng IX
12706,天囷八,γ Cet,Circular Celestial Granary VIII,Tiānqūn VIII
12719,胃宿一,35 Ari,Stomach I,Wèixiù I
12768,大陵增十四,14 Per,Mausoleum Added XIV,Dàlíng zēng XIV
12770,天苑七,π Cet,Celestial Meadows VII,Tiānyuàn VII
12777,大陵增十三,θ Per,Mausoleum Added XIII,Dàlíng zēng XIII
12786,天庾增三,HD17168,Ricks of Grain Added III,Tiānyǔ zēng III
12803,左更三,ο Ari,Official in Charge of the Forest III,Zuǒgēng III
12828,天囷四,μ Cet,Circular Celestial Granary IV,Tiānqūn IV
12843,天苑增八,τ1 Eri,Celestial Meadows Added VIII,Tiānyuàn zēng VIII
12876,蛇腹一,ζ Hyi,Snake's Abdomen I,Shéfù I
13055,五帝内座三,HD16458,Interior Seats of the Five Emperors III,Wǔdìnèizuò III
13061,胃宿二,39 Ari,Stomach II,Wèixiù II
13108,左更增二,40 Ari,Official in Charge of the Forest Added II,Zuǒgēng zēng II
13147,天庾三*,β For,Ricks of Grain III*,Tiānyǔ III*
13165,左更五,π Ari,Official in Charge of the Forest V,Zuǒgēng V
13209,胃宿三,c Ari,Stomach III,Wèixiù III
13244,附白二,ν Hyi,White Patched Nearby II,Fùbái II
13254,大陵七,16 Per,Mausoleum VII,Dàlíng VII
13268,天船一,η Per,Celestial Boat I,Tiānchuán I
13288,天苑九,τ2 Eri,Celestial Meadows IX,Tiānyuàn IX
13327,左更四,σ Ari,Official in Charge of the Forest IV,Zuǒgēng IV
13328,大陵增十六,17 Per,Mausoleum Added XVI,Dàlíng zēng XVI
13448,左更增八,HD17918,Official in Charge of the Forest Added VIII,Zuǒgēng zēng VIII
13490,大陵增十五,20 Per,Mausoleum Added XV,Dàlíng zēng XV
13531,大陵增十一,τ Per,Mausoleum Added XI,Dàlíng zēng XI
13579,左更增三,HIP13579,Official in Charge of the Forest Added III,Zuǒgēng zēng III
13654,左更增五,45 Ari,Official in Charge of the Forest Added V,Zuǒgēng zēng V
13665,传舍六,HD17948,Guest House VI,Chuánshè VI
13701,天苑六,η Eri,Celestial Meadows VI,Tiānyuàn VI
13702,左更增四,ρ Ari,Official in Charge of the Forest Added IV,Zuǒgēng zēng IV
13775,胃宿增三,21 Per,Stomach Added III,Wèixiù zēng III
13782,天苑增六,4 Eri,Celestial Meadows Added VI,Tiānyuàn zēng VI
13834,左更增六,47 Ari,Official in Charge of the Forest Added VI,Zuǒgēng zēng VI
13835,天苑增五,6 Eri,Celestial Meadows Added V,Tiānyuàn zēng V
13847,天园六,θ1 Eri,Celestial Orchard VI,Tiānyuán VI
13879,积尸[胃宿],π Per,Heap of Corpses,JīShī
13914,左更增七,ε Ari,Official in Charge of the Forest Added VII,Zuǒgēng zēng VII
13951,天囷增十九,5 Eri,Circular Celestial Granary Added XIX,Tiānqūn zēng XIX
13954,天囷三,λ Cet,Circular Celestial Granary III,Tiānqūn III
14040,天囷增十八,7 Eri,Circular Celestial Granary Added XVIII,Tiānqūn zēng XVIII
14060,天苑增十,ρ1 Eri,Celestial Meadows Added X,Tiānyuàn zēng X
14066,大陵增十七,HIP14066,Mausoleum Added XVII,Dàlíng zēng XVII
14135,天囷一,α Cet,Circular Celestial Granary I,Tiānqūn I
14143,天囷增十,93 Cet,Circular Celestial Granary Added X,Tiānqūn zēng X
14146,天苑十,τ3 Eri,Celestial Meadows X,Tiānyuàn X
14168,天苑增十一,ρ2 Eri,Celestial Meadows Added XI,Tiānyuàn zēng XI
14293,天苑增十二,ρ3 Eri,Celestial Meadows Added XII,Tiānyuàn zēng XII
14328,天船二,γ Per,Celestial Boat II,Tiānchuán II
14354,大陵六,ρ Per,Mausoleum VI,Dàlíng VI
14376,胃宿增四,52 Ari,Stomach Added IV,Wèixiù zēng IV
14417,五帝内座一,HD18438,Interior Seats of the Five Emperors I,Wǔdìnèizuò I
14576,大陵五,β Per,Mausoleum V,Dàlíng V
